GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
SORBI_3008G071050	Exoribonuclease phosphorolytic domain-containing protein	EXOSOME COMPLEX COMPONENT RRP42 (PTHR11097:SF8)	exoribonuclease(PC00099)	mRNA 3'-UTR AU-rich region binding(GO:0035925)	"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)(GO:0000467);rRNA catabolic process(GO:0016075);U1 snRNA 3'-end processing(GO:0034473);U4 snRNA 3'-end processing(GO:0034475);U5 snRNA 3'-end processing(GO:0034476);nuclear mRNA surveillance(GO:0071028);nuclear polyadenylation-dependent rRNA catabolic process(GO:0071035);TRAMP-dependent tRNA surveillance pathway(GO:0071038)"	nuclear exosome (RNase complex)(GO:0000176);cytoplasmic exosome (RNase complex)(GO:0000177);nucleolus(GO:0005730);cytoplasm(GO:0005737)
SORBI_3002G380300	Uncharacterized protein	RAS-RELATED PROTEIN RABH1E (PTHR24073:SF1206)	small GTPase(PC00208)	GTPase activity(GO:0003924);GTP binding(GO:0005525)	"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum(GO:0006890);intra-Golgi vesicle-mediated transport(GO:0006891);retrograde transport, endosome to Golgi(GO:0042147)"	Golgi membrane(GO:0000139);cytosol(GO:0005829)
SORBI_3003G045000	Serine_threonine protein phosphatase 2A regulatory subunit	SERINE_THREONINE PROTEIN PHOSPHATASE 2A 59 KDA REGULATORY SUBUNIT B' ZETA ISOFORM (PTHR10257:SF119)	protein phosphatase(PC00195)	protein phosphatase regulator activity(GO:0019888);protein phosphatase activator activity(GO:0072542)	signal transduction(GO:0007165)	protein phosphatase type 2A complex(GO:0000159)
SORBI_3001G302900	PH domain-containing protein	OS10G0554100 PROTEIN (PTHR10972:SF211)	transfer/carrier protein(PC00219)	lipid binding(GO:0008289)		cytosol(GO:0005829);membrane(GO:0016020)
SORBI_3001G032550	Uncharacterized protein	OS11G0246100 PROTEIN (PTHR13068:SF102)		nucleic acid binding(GO:0003676)		
SORBI_3002G227900	Alpha_beta hydrolase fold-3 domain-containing protein	OS09G0461500 PROTEIN (PTHR23024:SF165)	deacetylase(PC00087)	hydrolase activity(GO:0016787)		
SORBI_3005G099000	GH18 domain-containing protein	XYLANASE INHIBITOR PROTEIN 1 (PTHR45708:SF4)		enzyme inhibitor activity(GO:0004857)	carbohydrate metabolic process(GO:0005975);defense response to fungus(GO:0050832)	extracellular region(GO:0005576)
SORBI_3001G293400	RING-type domain-containing protein	OS10G0566400 PROTEIN (PTHR45768:SF77)	ubiquitin-protein ligase(PC00234)			membrane(GO:0016020)
SORBI_3004G131040	Clp ATPase C-terminal domain-containing protein	"CLP PROTEASE REGULATORY SUBUNIT CLPX1, MITOCHONDRIAL (PTHR48102:SF6)"	protease(PC00190)	ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887)		
SORBI_3005G118900	Uncharacterized protein					
SORBI_3001G223300	DUF295 domain-containing protein	OS04G0486300 PROTEIN (PTHR33165:SF53)				
SORBI_3007G162000	Neprosin domain-containing protein	"PROTEIN, PUTATIVE (DUF239)-RELATED (PTHR31589:SF110)"				
SORBI_3002G002700	Glutamate receptor	GLUTAMATE RECEPTOR (PTHR18966:SF564)	transmembrane signal receptor(PC00197)	ligand-gated monoatomic ion channel activity(GO:0015276)	monoatomic ion transmembrane transport(GO:0034220)	membrane(GO:0016020)
SORBI_3005G013000	DUF295 domain-containing protein	DUF295 DOMAIN-CONTAINING PROTEIN (PTHR33800:SF26)				
SORBI_3004G051700	Ubiquitin thioesterase OTU	UBIQUITIN THIOESTERASE OTU1 (PTHR13312:SF0)	cysteine protease(PC00081)	cysteine-type deubiquitinase activity(GO:0004843)	endoplasmic reticulum unfolded protein response(GO:0030968);ERAD pathway(GO:0036503)	nucleus(GO:0005634);cytoplasm(GO:0005737);cytosol(GO:0005829)
SORBI_3005G088700	Pectinesterase inhibitor domain-containing protein	PECTINESTERASE INHIBITOR DOMAIN-CONTAINING PROTEIN (PTHR31509:SF56)			root development(GO:0048364);shoot system development(GO:0048367)	
SORBI_3010G082201	Fucosyltransferase	FUCOSYLTRANSFERASE (PTHR31889:SF87)	transferase(PC00220)	galactoside 2-alpha-L-fucosyltransferase activity(GO:0008107)	cell wall biogenesis(GO:0042546);cell wall organization(GO:0071555)	membrane(GO:0016020);Golgi cisterna membrane(GO:0032580)
SORBI_3003G374600	F-box domain-containing protein	OS01G0876300 PROTEIN (PTHR35546:SF123)				
SORBI_3003G245500	F-box domain-containing protein	OS01G0660700 PROTEIN (PTHR33110:SF144)				
SORBI_3001G437100	Integrase zinc-binding domain-containing protein	EXPRESSED PROTEIN (PTHR37745:SF1)				
SORBI_3005G190100	BTB domain-containing protein	BTB DOMAIN-CONTAINING PROTEIN (PTHR26379:SF457)			protein ubiquitination(GO:0016567)	
SORBI_3004G113300	Cyclic nucleotide-binding domain-containing protein	CYCLIC NUCLEOTIDE-BINDING DOMAIN-CONTAINING PROTEIN (PTHR45651:SF97)	ligand-gated ion channel(PC00141)	monoatomic ion channel activity(GO:0005216)	monoatomic ion transport(GO:0006811);monoatomic ion transmembrane transport(GO:0034220);transmembrane transport(GO:0055085)	endomembrane system(GO:0012505);membrane(GO:0016020)
SORBI_3005G100700	mRNA guanylyltransferase	MRNA-CAPPING ENZYME (PTHR10367:SF17)	mRNA capping factor(PC00145)	mRNA guanylyltransferase activity(GO:0004484);ATP binding(GO:0005524);phosphatase activity(GO:0016791);mRNA 5'-triphosphate monophosphatase activity(GO:0140818)	7-methylguanosine mRNA capping(GO:0006370)	nucleus(GO:0005634)
SORBI_3005G110541	Probable bifunctional methylthioribulose-1-phosphate dehydratase_enolase-phosphatase E1	METHYLTHIORIBULOSE-1-PHOSPHATE DEHYDRATASE (PTHR10640:SF7)	dehydratase(PC00091)	magnesium ion binding(GO:0000287);zinc ion binding(GO:0008270);acireductone synthase activity(GO:0043874);methylthioribulose 1-phosphate dehydratase activity(GO:0046570);metal ion binding(GO:0046872)		cytoplasm(GO:0005737)
SORBI_3002G421800	Homeobox domain-containing protein	WUSCHEL-RELATED HOMEOBOX 11 (PTHR46998:SF11)	homeodomain transcription factor(PC00119)	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	DNA-templated transcription(GO:0006351);regulation of DNA-templated transcription(GO:0006355);lateral root formation(GO:0010311);root development(GO:0048364);system development(GO:0048731);adventitious root development(GO:0048830);plant organ formation(GO:1905393)	nucleus(GO:0005634)
SORBI_3008G119000	Cathepsin propeptide inhibitor domain-containing protein					
SORBI_3005G101200	Protein kinase domain-containing protein	"PROTEIN ACTIVITY OF BC1 COMPLEX KINASE 1, CHLOROPLASTIC (PTHR10566:SF53)"		protein kinase activity(GO:0004672);ATP binding(GO:0005524)		
SORBI_3002G155000	NB-ARC domain-containing protein	EMBRYO DEFECTIVE 1381 (PTHR36017:SF1)				
SORBI_3008G108500	UBP-type domain-containing protein	HISTONE DEACETYLASE-LIKE PROTEIN (PTHR47665:SF1)	histone modifying enzyme(PC00261)	zinc ion binding(GO:0008270)		
SORBI_3006G231600	N-acetyltransferase domain-containing protein	N-TERMINAL AMINO-ACID N(ALPHA)-ACETYLTRANSFERASE NATA (PTHR23091:SF4)	acetyltransferase(PC00038)	"protein-N-terminal amino-acid acetyltransferase activity(GO:0004596);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747);protein N-terminal-serine acetyltransferase activity(GO:1990189);protein-N-terminal-glutamate acetyltransferase activity(GO:1990190)"		NatA complex(GO:0031415)
SORBI_3001G262900	HhH-GPD domain-containing protein	METHYL-CPG-BINDING DOMAIN PROTEIN 4-LIKE PROTEIN (PTHR15074:SF0)	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"	"DNA binding(GO:0003677);catalytic activity(GO:0003824);catalytic activity, acting on DNA(GO:0140097)"	DNA repair(GO:0006281);base-excision repair(GO:0006284)	nucleus(GO:0005634)
SORBI_3008G099600	Protein kinase domain-containing protein	OS11G0274700 PROTEIN (PTHR47975:SF31)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524)		
SORBI_3010G107901	Uncharacterized protein			nucleic acid binding(GO:0003676);zinc ion binding(GO:0008270)		spliceosomal complex(GO:0005681);chromosome(GO:0005694);nuclear speck(GO:0016607)
SORBI_3008G005900	Nodulin-like domain-containing protein	MAJOR FACILITATOR SUPERFAMILY PROTEIN (PTHR21576:SF7)				membrane(GO:0016020)
SORBI_3003G206700	HMA domain-containing protein	OS01G0595201 PROTEIN (PTHR46119:SF7)		metal ion binding(GO:0046872)		
SORBI_3002G211501	Uncharacterized protein	50 KDA GAMMA-ZEIN (PTHR33454:SF14)				
SORBI_3004G059200	Protein kinase domain-containing protein	LEUCINE-RICH REPEAT PROTEIN KINASE FAMILY PROTEIN-RELATED (PTHR48007:SF15)	transmembrane signal receptor(PC00197)	protein kinase activity(GO:0004672);ATP binding(GO:0005524)		membrane(GO:0016020)
SORBI_3001G384000	Uncharacterized protein	EXPRESSED PROTEIN (PTHR31008:SF5)				
SORBI_3010G134000	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha	PYROPHOSPHATE--FRUCTOSE 6-PHOSPHATE 1-PHOSPHOTRANSFERASE SUBUNIT ALPHA (PTHR43650:SF25)	carbohydrate kinase(PC00065)	6-phosphofructokinase activity(GO:0003872);ATP binding(GO:0005524);diphosphate-fructose-6-phosphate 1-phosphotransferase activity(GO:0047334)	fructose 6-phosphate metabolic process(GO:0006002);glycolytic process(GO:0006096);photosynthesis(GO:0015979);glycolytic process through fructose-6-phosphate(GO:0061615)	cytoplasm(GO:0005737);cytosol(GO:0005829)
SORBI_3010G158050	Uncharacterized protein					
SORBI_3002G087900	Protein phosphatase inhibitor 2	PROTEIN PHOSPHATASE 1 REGULATORY INHIBITOR SUBUNIT 2 (PTHR12398:SF20)	phosphatase inhibitor(PC00183)	protein phosphatase inhibitor activity(GO:0004864)	regulation of signal transduction(GO:0009966);intracellular signal transduction(GO:0035556)	
SORBI_3010G054200	Proteasome subunit alpha type	PROTEASOME SUBUNIT ALPHA TYPE-4 (PTHR11599:SF13)	protease(PC00190)		ubiquitin-dependent protein catabolic process(GO:0006511);protein catabolic process(GO:0030163);proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161)	"proteasome complex(GO:0000502);nucleus(GO:0005634);cytoplasm(GO:0005737);cytosol(GO:0005829);proteasome core complex(GO:0005839);proteasome core complex, alpha-subunit complex(GO:0019773)"
SORBI_3008G105800	Cytochrome P450	OS06G0497350 PROTEIN (PTHR47956:SF84)	oxygenase(PC00177)	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037)"		
SORBI_3008G004600	E1 ubiquitin-activating enzyme	UBIQUITIN-ACTIVATING ENZYME E1 C-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR10953:SF4)	ubiquitin-protein ligase(PC00234)	ubiquitin activating enzyme activity(GO:0004839);ubiquitin-protein transferase activity(GO:0004842);ubiquitin-like modifier activating enzyme activity(GO:0008641)	ubiquitin-dependent protein catabolic process(GO:0006511);DNA damage response(GO:0006974);protein ubiquitination(GO:0016567)	nucleus(GO:0005634)
SORBI_3004G009400	Major facilitator superfamily (MFS) profile domain-containing protein	HIGH-AFFINITY NITRATE TRANSPORTER 2.1-RELATED (PTHR23515:SF29)	transporter(PC00227)	nitrate transmembrane transporter activity(GO:0015112);transmembrane transporter activity(GO:0022857)	nitrate transmembrane transport(GO:0015706);transmembrane transport(GO:0055085)	endomembrane system(GO:0012505)
SORBI_3001G414500	PGG domain-containing protein	ANKYRIN REPEAT-CONTAINING PROTEIN ITN1 (PTHR24186:SF48)	phosphatase modulator(PC00184)			plasma membrane(GO:0005886)
SORBI_3004G058800	Uncharacterized protein					
SORBI_3009G111500	DUF538 domain-containing protein	OS05G0362300 PROTEIN (PTHR31676:SF76)				
SORBI_3001G022100	Uncharacterized protein	EXPRESSED PROTEIN (PTHR34564:SF5)	chaperone(PC00072)			
SORBI_3006G048100	F-box domain-containing protein	OS04G0380300 PROTEIN (PTHR46344:SF11)				
SORBI_3003G076700	Cytochrome P450	CYTOCHROME P450 89A2 (PTHR24298:SF892)	oxygenase(PC00177)	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037)"		membrane(GO:0016020)
SORBI_3001G311900	Carboxypeptidase	CARBOXYPEPTIDASE (PTHR11802:SF223)	serine protease(PC00203)	serine-type carboxypeptidase activity(GO:0004185)	proteolysis(GO:0006508)	
SORBI_3009G107500	PAR1 protein	PAR1 PROTEIN (PTHR33649:SF4)				
SORBI_3004G028500	glutaminase	PYRIDOXAL 5'-PHOSPHATE SYNTHASE SUBUNIT SNO1-RELATED (PTHR31559:SF0)	lyase(PC00144)	glutaminase activity(GO:0004359)	pyridoxine metabolic process(GO:0008614);vitamin B6 biosynthetic process(GO:0042819);pyridoxal 5'-phosphate biosynthetic process(GO:0042823)	glutaminase complex(GO:1903600)
SORBI_3008G077900	Exostosin GT47 domain-containing protein	OS12G0224400 PROTEIN (PTHR11062:SF74)	glycosyltransferase(PC00111)	glycosyltransferase activity(GO:0016757)	glycoprotein biosynthetic process(GO:0009101)	Golgi membrane(GO:0000139)
SORBI_3010G054500	Fe2OG dioxygenase domain-containing protein	FE2OG DIOXYGENASE DOMAIN-CONTAINING PROTEIN (PTHR10209:SF492)	oxidoreductase(PC00176)			
SORBI_3001G230200	Inosine triphosphate pyrophosphatase	INOSINE TRIPHOSPHATE PYROPHOSPHATASE (PTHR11067:SF9)	nucleotide phosphatase(PC00173)	dITP diphosphatase activity(GO:0035870);ITP diphosphatase activity(GO:0036220);XTP diphosphatase activity(GO:0036222);nucleoside triphosphate diphosphatase activity(GO:0047429)	nucleoside triphosphate catabolic process(GO:0009143);purine nucleoside triphosphate catabolic process(GO:0009146);deoxyribonucleoside triphosphate catabolic process(GO:0009204)	nucleus(GO:0005634);cytoplasm(GO:0005737);cytosol(GO:0005829)
SORBI_3004G027600	DUF1995 domain-containing protein	"PROTEIN LOW PSII ACCUMULATION 3, CHLOROPLASTIC (PTHR34051:SF1)"				
SORBI_3001G237900	Expansin	EXPANSIN-A28 (PTHR31867:SF77)			plant-type cell wall organization(GO:0009664)	extracellular region(GO:0005576);membrane(GO:0016020)
SORBI_3005G014700	cysteine desulfurase	"CYSTEINE DESULFURASE 1, CHLOROPLASTIC (PTHR43586:SF8)"	lyase(PC00144)	pyridoxal phosphate binding(GO:0030170);cysteine desulfurase activity(GO:0031071)		
SORBI_3006G279000	RRM domain-containing protein	RRM DOMAIN-CONTAINING PROTEIN (PTHR33527:SF23)				
SORBI_3001G357700	Amino acid permease_ SLC12A domain-containing protein	EXPRESSED PROTEIN (PTHR45826:SF22)	transporter(PC00227)	polyamine transmembrane transporter activity(GO:0015203);transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085);polyamine transmembrane transport(GO:1902047)	plasma membrane(GO:0005886);membrane(GO:0016020)
SORBI_3004G332000	"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"	"ALPHA-1,6-MANNOSYL-GLYCOPROTEIN 2-BETA-N-ACETYLGLUCOSAMINYLTRANSFERASE (PTHR12871:SF0)"	glycosyltransferase(PC00111)	"alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity(GO:0008455)"	protein N-linked glycosylation(GO:0006487);oligosaccharide biosynthetic process(GO:0009312)	Golgi membrane(GO:0000139);Golgi stack(GO:0005795);membrane(GO:0016020)
SORBI_3008G124000	GDSL esterase_lipase	OS10G0393700 PROTEIN (PTHR22835:SF544)		"hydrolase activity, acting on ester bonds(GO:0016788)"		
SORBI_3002G229900	J domain-containing protein	OS09G0463700 PROTEIN (PTHR45496:SF6)	chaperone(PC00072)			endoplasmic reticulum(GO:0005783)
SORBI_3001G041200	Peptidyl-prolyl cis-trans isomerase	PEPTIDYL-PROLYL CIS-TRANS ISOMERASE D-RELATED (PTHR11071:SF561)	chaperone(PC00072)	peptidyl-prolyl cis-trans isomerase activity(GO:0003755);cyclosporin A binding(GO:0016018)	protein folding(GO:0006457)	
SORBI_3007G090537	CpSecY	"PREPROTEIN TRANSLOCASE SUBUNIT SCY1, CHLOROPLASTIC (PTHR10906:SF9)"	transporter(PC00227)	signal sequence binding(GO:0005048);transmembrane protein transporter activity(GO:0008320)	"SRP-dependent cotranslational protein targeting to membrane, translocation(GO:0006616);protein transport(GO:0015031)"	chloroplast thylakoid membrane(GO:0009535);membrane(GO:0016020)
SORBI_3008G135800	Uncharacterized protein	GDSL ESTERASE_LIPASE (PTHR22835:SF549)		"hydrolase activity, acting on ester bonds(GO:0016788)"		
SORBI_3002G004600	Calcineurin-like phosphoesterase domain-containing protein	OS07G0106000 PROTEIN (PTHR34211:SF6)	esterase(PC00097)	hydrolase activity(GO:0016787)		
SORBI_3007G130100	RING-type E3 ubiquitin transferase	RING-TYPE E3 UBIQUITIN TRANSFERASE (PTHR23315:SF221)	ubiquitin-protein ligase(PC00234)	ubiquitin-protein transferase activity(GO:0004842);ubiquitin protein ligase activity(GO:0061630)	protein ubiquitination(GO:0016567)	
SORBI_3007G089533	Uncharacterized protein					
SORBI_3002G422100	Nuclear pore complex protein NUP214	NUCLEAR PORE COMPLEX PROTEIN NUP214 (PTHR34418:SF3)		structural constituent of nuclear pore(GO:0017056)	RNA export from nucleus(GO:0006405)	
SORBI_3003G174301	Uncharacterized protein					
SORBI_3010G142132	Uncharacterized protein					
SORBI_3008G076300	Fatty acyl-CoA reductase	FATTY ACYL-COA REDUCTASE 3 (PTHR11011:SF99)		alcohol-forming very long-chain fatty acyl-CoA reductase activity(GO:0080019);alcohol-forming long-chain fatty acyl-CoA reductase activity(GO:0102965)	long-chain fatty-acyl-CoA metabolic process(GO:0035336)	
SORBI_3008G048900	Alginate lyase 2 domain-containing protein	"BINDING PROTEIN, PUTATIVE-RELATED (PTHR33681:SF8)"				
SORBI_3008G154300	Flavin-containing monooxygenase	FLAVIN-CONTAINING MONOOXYGENASE (PTHR43539:SF48)	oxygenase(PC00177)	"N,N-dimethylaniline monooxygenase activity(GO:0004499);flavin adenine dinucleotide binding(GO:0050660);NADP binding(GO:0050661);indole-3-pyruvate monooxygenase activity(GO:0103075)"	auxin biosynthetic process(GO:0009851)	
SORBI_3009G066600	Uncharacterized protein	POLYAMINE-MODULATED FACTOR 1-BINDING PROTEIN (PTHR36800:SF1)				
SORBI_3005G012200	non-specific serine_threonine protein kinase	SERINE_THREONINE-PROTEIN KINASE WNK4-RELATED (PTHR13902:SF132)	non-receptor serine/threonine protein kinase(PC00167)	protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)	intracellular signal transduction(GO:0035556)	cytoplasm(GO:0005737)
SORBI_3006G216400	Auxin responsive protein	OS04G0617050 PROTEIN (PTHR31374:SF234)			response to auxin(GO:0009733)	
SORBI_3003G419300	Peptidase A1 domain-containing protein	CHITINASE CLP (PTHR47965:SF60)	protease(PC00190)	aspartic-type endopeptidase activity(GO:0004190)	proteolysis(GO:0006508)	
SORBI_3005G220500	Expansin-like CBD domain-containing protein	OS04G0328900 PROTEIN (PTHR31692:SF13)				
SORBI_3001G338900	Cytochrome P450	CYTOCHROME P450 99A2 (PTHR47956:SF87)	oxygenase(PC00177)	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037)"		
SORBI_3001G028500	SPX domain-containing protein	SPX DOMAIN-CONTAINING PROTEIN 4 (PTHR45978:SF7)			cellular response to phosphate starvation(GO:0016036);cellular response to cold(GO:0070417)	
SORBI_3001G038450	Secreted protein					
SORBI_3002G155400	non-specific serine_threonine protein kinase	SERINE_THREONINE-PROTEIN KINASE BRI1-LIKE 1 (PTHR48053:SF31)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)		plasma membrane(GO:0005886)
SORBI_3001G114500	GPN-loop GTPase 3	GPN-LOOP GTPASE 3 (PTHR21231:SF7)	small GTPase(PC00208)	GTPase activity(GO:0003924)		
SORBI_3010G052500	C2H2-type domain-containing protein	OS06G0166200 PROTEIN (PTHR35744:SF2)		DNA-binding transcription factor binding(GO:0140297)		nucleus(GO:0005634);chloroplast(GO:0009507)
SORBI_3009G237400	Timeless N-terminal domain-containing protein	PROTEIN TIMELESS HOMOLOG (PTHR22940:SF4)		DNA binding(GO:0003677)	DNA replication checkpoint signaling(GO:0000076);DNA repair(GO:0006281);replication fork arrest(GO:0043111)	nucleus(GO:0005634);replication fork protection complex(GO:0031298)
SORBI_3010G165300	Kinesin motor domain-containing protein	KINESIN-LIKE PROTEIN KIN-14M (PTHR47972:SF49)	microtubule binding motor protein(PC00156)	nucleotide binding(GO:0000166);cytoskeletal motor activity(GO:0003774);microtubule motor activity(GO:0003777);ATP binding(GO:0005524);microtubule binding(GO:0008017)	microtubule-based process(GO:0007017);microtubule-based movement(GO:0007018)	microtubule cytoskeleton(GO:0015630)
SORBI_3002G115200	Gnk2-homologous domain-containing protein	GNK2-HOMOLOGOUS DOMAIN-CONTAINING PROTEIN (PTHR32080:SF54)				plasma membrane(GO:0005886);plasmodesma(GO:0009506)
SORBI_3010G055700	Uncharacterized protein	"CYTOCHROME C OXIDASE ASSEMBLY PROTEIN COX18, MITOCHONDRIAL (PTHR12428:SF65)"	transporter(PC00227)	membrane insertase activity(GO:0032977)	protein insertion into mitochondrial inner membrane from matrix(GO:0032979);protein insertion into membrane(GO:0051205)	mitochondrion(GO:0005739);membrane(GO:0016020)
SORBI_3005G100900	Uncharacterized protein	"MULTIPLE ORGANELLAR RNA EDITING FACTOR 1, MITOCHONDRIAL (PTHR31346:SF5)"			RNA metabolic process(GO:0016070);cytidine to uridine editing(GO:0016554)	
SORBI_3005G183200	14-3-3 domain-containing protein	14-3-3 PROTEIN ZETA (PTHR18860:SF159)	scaffold/adaptor protein(PC00226)		intracellular protein localization(GO:0008104)	
SORBI_3009G050300	Large ribosomal subunit protein uL15_eL18 domain-containing protein	OS05G0155100 PROTEIN (PTHR10934:SF5)	ribosomal protein(PC00202)	structural constituent of ribosome(GO:0003735)	cytoplasmic translation(GO:0002181);translation(GO:0006412)	ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625)
SORBI_3009G251800	Protein kinase domain-containing protein	LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE FAMILY PROTEIN-RELATED (PTHR48010:SF70)		protein kinase activity(GO:0004672);ATP binding(GO:0005524)		membrane(GO:0016020)
SORBI_3002G421700	F-box domain-containing protein	"F-BOX DOMAIN CONTAINING PROTEIN, EXPRESSED (PTHR32133:SF293)"				
SORBI_3003G088200	NAD-dependent epimerase_dehydratase domain-containing protein	TETRAKETIDE ALPHA-PYRONE REDUCTASE 2 (PTHR10366:SF503)	dehydratase(PC00091)			
SORBI_3004G050700	Phytocyanin domain-containing protein	EARLY NODULIN-LIKE PROTEIN 9 (PTHR33021:SF186)		electron transfer activity(GO:0009055)		plasma membrane(GO:0005886);membrane(GO:0016020)
SORBI_3005G115200	Aminotransferase-like plant mobile domain-containing protein	AMINOTRANSFERASE-LIKE PLANT MOBILE DOMAIN-CONTAINING PROTEIN (PTHR36607:SF20)	oxygenase(PC00177)			
SORBI_3002G423000	VWFA domain-containing protein	ZINC FINGER (C3HC4-TYPE RING FINGER) FAMILY PROTEIN (PTHR10579:SF51)	ion channel(PC00133)			
SORBI_3002G251700	NAC domain-containing protein	NAC DOMAIN-CONTAINING PROTEIN 13 (PTHR31989:SF205)		transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634);membrane(GO:0016020)
SORBI_3004G027900	Uncharacterized protein					
SORBI_3004G175700	Transcriptional coactivator p15 (PC4) C-terminal domain-containing protein	ACTIVATED RNA POLYMERASE II TRANSCRIPTIONAL COACTIVATOR P15 (PTHR13215:SF0)	general transcription factor(PC00259)	DNA binding(GO:0003677);transcription coactivator activity(GO:0003713)	regulation of DNA-templated transcription(GO:0006355);positive regulation of transcription initiation by RNA polymerase II(GO:0060261)	nucleus(GO:0005634);transcription regulator complex(GO:0005667)
SORBI_3008G096150	Uncharacterized protein					
SORBI_3005G101100	F-box domain-containing protein	"F-BOX DOMAIN CONTAINING PROTEIN, EXPRESSED (PTHR32133:SF293)"				
SORBI_3003G106600	EXPERA domain-containing protein	EXPERA DOMAIN-CONTAINING PROTEIN (PTHR14207:SF2)	isomerase(PC00135)	steroid Delta-isomerase activity(GO:0004769);cholestenol delta-isomerase activity(GO:0047750)	sterol metabolic process(GO:0016125);sterol biosynthetic process(GO:0016126)	endoplasmic reticulum(GO:0005783);membrane(GO:0016020)
SORBI_3010G057200	Uncharacterized protein					
SORBI_3004G044300	Uncharacterized protein	EXPRESSED PROTEIN (PTHR31549:SF257)				
SORBI_3010G090200	MADS-box domain-containing protein	AGAMOUS-LIKE MADS-BOX PROTEIN AGL104-RELATED (PTHR11945:SF739)	MADS box transcription factor(PC00250)	RNA polymerase II transcription regulatory region sequence-specific DNA binding(GO:0000977);RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA binding(GO:0003677);protein dimerization activity(GO:0046983)	regulation of transcription by RNA polymerase II(GO:0006357);pollen maturation(GO:0010152);positive regulation of transcription by RNA polymerase II(GO:0045944);regulation of pollen tube growth(GO:0080092)	nucleus(GO:0005634)
SORBI_3006G190150	Uncharacterized protein					
SORBI_3003G070100	DUF4220 domain-containing protein	OS12G0408000 PROTEIN (PTHR31325:SF79)				
SORBI_3006G244200	DUF295 domain-containing protein	DUF295 DOMAIN-CONTAINING PROTEIN (PTHR44259:SF34)				
SORBI_3001G264000	Enoyl reductase (ER) domain-containing protein	ALCOHOL DEHYDROGENASE-LIKE 3 (PTHR43880:SF42)	dehydrogenase(PC00092)	alcohol dehydrogenase (NAD+) activity(GO:0004022);zinc ion binding(GO:0008270);oxidoreductase activity(GO:0016491)	formaldehyde catabolic process(GO:0046294)	cytoplasm(GO:0005737);cytosol(GO:0005829)
SORBI_3008G042700	E2F_DP family winged-helix DNA-binding domain-containing protein	TRANSCRIPTION FACTOR E2F2-RELATED (PTHR12081:SF18)	winged helix/forkhead transcription factor(PC00246)	"RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);protein dimerization activity(GO:0046983)"	regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357)	nucleus(GO:0005634);transcription regulator complex(GO:0005667);RNA polymerase II transcription regulator complex(GO:0090575)
SORBI_3010G145800	K Homology domain-containing protein	RNA-BINDING KH DOMAIN-CONTAINING PROTEIN RCF3 (PTHR10288:SF134)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723)		
SORBI_3003G156700	Uncharacterized protein	SUBFAMILY NOT NAMED (PTHR35717:SF2)				
